date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:40	1300/1300	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec1-514%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.min.js	C:/My%20Web%20Sites/adrofx%20social-investing/cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.min.js	(from https://adrofx.com/social-investing)
12:15:40	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:%22a76f-5f2ebcc5ef73f-gzip%22	https://adrofx.com/themes/custom/adrofx_theme/185/js/slick.min.js	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/js/slick.min.js	(from https://adrofx.com/social-investing)
12:15:41	102384/102384	---M-Z	200	added ('OK')	application/javascript	etag:%2218ff0-5f2ae198979ec-gzip%22	https://adrofx.com/sites/default/files/js/js_hjmgJC-6fXyC4Uktdwr3TCdf-8d1we5cxK24Pw_GZJE.js	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/sites/default/files/js/js_hjmgJC-6fXyC4Uktdwr3TCdf-8d1we5cxK24Pw_GZJE.js	(from https://adrofx.com/social-investing)
12:15:41	16699/16699	---M-Z	200	added ('OK')	application/javascript	etag:%22413b-5f31e12d960b2-gzip%22	https://adrofx.com/sites/default/files/js/js_N3ilkHMc7h7EBgskhyEn-XBT0iPmB1pLpr-YoWwukak.js	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/sites/default/files/js/js_N3ilkHMc7h7EBgskhyEn-XBT0iPmB1pLpr-YoWwukak.js	(from https://adrofx.com/social-investing)
12:15:41	159427/159427	---M-Z	200	added ('OK')	application/javascript	etag:%2226ec3-5f31e12d97ff2-gzip%22	https://adrofx.com/sites/default/files/js/js__7sPnWFdBJ5ZAV_Rhfs-S25zLlQXtAbHiL8zLOGBeAg.js	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/sites/default/files/js/js__7sPnWFdBJ5ZAV_Rhfs-S25zLlQXtAbHiL8zLOGBeAg.js	(from https://adrofx.com/social-investing)
12:15:41	149841/149841	---M-Z	200	added ('OK')	application/javascript	etag:%2224951-5f38246558269-gzip%22	https://adrofx.com/sites/default/files/js/js_PwUWY1p8inz5SnFxxqeTD9Quozk1ZryMXYaFYvMJP70.js	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/sites/default/files/js/js_PwUWY1p8inz5SnFxxqeTD9Quozk1ZryMXYaFYvMJP70.js	(from https://adrofx.com/social-investing)
12:15:42	5709/5709	---M-Z	200	added ('OK')	application/javascript	etag:%22164d-5f2f058e72afe-gzip%22	https://adrofx.com/sites/default/files/js/js_DVm-1tRkf6L-8jpKgGYbBzJnp0bsb9OwL_shvT2nLpg.js	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/sites/default/files/js/js_DVm-1tRkf6L-8jpKgGYbBzJnp0bsb9OwL_shvT2nLpg.js	(from https://adrofx.com/social-investing)
12:15:42	163058/163058	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2227cf2-5f2ebcc60db9e%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Regular.eot	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Regular.eot	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
12:15:42	163058/163058	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2227cf2-5f2ebcc60db9e%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Regular.eot?	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Regulard41d.eot	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
12:15:42	733320/733320	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b3088-5f2ebcc60eb3e%22	https://adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Regular.svg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/fonts/Roboto-Regular.svg	(from https://adrofx.com/themes/custom/adrofx_theme/css_local/fonts.css)
